timestamp_utc,price,currency,unit,timestamp_local
2023-12-31 23:00:00+00:00,0.1,EUR,MWH,2024-01-01 00:00:00+01:00
2024-01-01 00:00:00+00:00,0.01,EUR,MWH,2024-01-01 01:00:00+01:00
2024-01-01 01:00:00+00:00,0.0,EUR,MWH,2024-01-01 02:00:00+01:00
2024-01-01 02:00:00+00:00,-0.01,EUR,MWH,2024-01-01 03:00:00+01:00
2024-01-01 03:00:00+00:00,-0.03,EUR,MWH,2024-01-01 04:00:00+01:00
2024-01-01 04:00:00+00:00,-0.02,EUR,MWH,2024-01-01 05:00:00+01:00
2024-01-01 05:00:00+00:00,-0.05,EUR,MWH,2024-01-01 06:00:00+01:00
2024-01-01 06:00:00+00:00,-0.02,EUR,MWH,2024-01-01 07:00:00+01:00
2024-01-01 07:00:00+00:00,0.0,EUR,MWH,2024-01-01 08:00:00+01:00
2024-01-01 08:00:00+00:00,0.04,EUR,MWH,2024-01-01 09:00:00+01:00
2024-01-01 09:00:00+00:00,0.06,EUR,MWH,2024-01-01 10:00:00+01:00
2024-01-01 10:00:00+00:00,0.54,EUR,MWH,2024-01-01 11:00:00+01:00
2024-01-01 11:00:00+00:00,2.24,EUR,MWH,2024-01-01 12:00:00+01:00
2024-01-01 12:00:00+00:00,1.97,EUR,MWH,2024-01-01 13:00:00+01:00
2024-01-01 13:00:00+00:00,1.13,EUR,MWH,2024-01-01 14:00:00+01:00
2024-01-01 14:00:00+00:00,3.19,EUR,MWH,2024-01-01 15:00:00+01:00
2024-01-01 15:00:00+00:00,40.0,EUR,MWH,2024-01-01 16:00:00+01:00
2024-01-01 16:00:00+00:00,84.46,EUR,MWH,2024-01-01 17:00:00+01:00
2024-01-01 17:00:00+00:00,61.74,EUR,MWH,2024-01-01 18:00:00+01:00
2024-01-01 18:00:00+00:00,61.27,EUR,MWH,2024-01-01 19:00:00+01:00
2024-01-01 19:00:00+00:00,59.97,EUR,MWH,2024-01-01 20:00:00+01:00
2024-01-01 20:00:00+00:00,54.92,EUR,MWH,2024-01-01 21:00:00+01:00
2024-01-01 21:00:00+00:00,47.65,EUR,MWH,2024-01-01 22:00:00+01:00
2024-01-01 22:00:00+00:00,35.55,EUR,MWH,2024-01-01 23:00:00+01:00
2024-01-01 23:00:00+00:00,29.39,EUR,MWH,2024-01-02 00:00:00+01:00
2024-01-02 00:00:00+00:00,19.6,EUR,MWH,2024-01-02 01:00:00+01:00
2024-01-02 01:00:00+00:00,27.33,EUR,MWH,2024-01-02 02:00:00+01:00
2024-01-02 02:00:00+00:00,16.2,EUR,MWH,2024-01-02 03:00:00+01:00
2024-01-02 03:00:00+00:00,9.5,EUR,MWH,2024-01-02 04:00:00+01:00
2024-01-02 04:00:00+00:00,11.2,EUR,MWH,2024-01-02 05:00:00+01:00
2024-01-02 05:00:00+00:00,44.43,EUR,MWH,2024-01-02 06:00:00+01:00
2024-01-02 06:00:00+00:00,56.56,EUR,MWH,2024-01-02 07:00:00+01:00
2024-01-02 07:00:00+00:00,64.28,EUR,MWH,2024-01-02 08:00:00+01:00
2024-01-02 08:00:00+00:00,66.12,EUR,MWH,2024-01-02 09:00:00+01:00
2024-01-02 09:00:00+00:00,70.6,EUR,MWH,2024-01-02 10:00:00+01:00
2024-01-02 10:00:00+00:00,78.8,EUR,MWH,2024-01-02 11:00:00+01:00
2024-01-02 11:00:00+00:00,99.9,EUR,MWH,2024-01-02 12:00:00+01:00
2024-01-02 12:00:00+00:00,102.5,EUR,MWH,2024-01-02 13:00:00+01:00
2024-01-02 13:00:00+00:00,110.6,EUR,MWH,2024-01-02 14:00:00+01:00
2024-01-02 14:00:00+00:00,105.7,EUR,MWH,2024-01-02 15:00:00+01:00
2024-01-02 15:00:00+00:00,100.7,EUR,MWH,2024-01-02 16:00:00+01:00
2024-01-02 16:00:00+00:00,118.93,EUR,MWH,2024-01-02 17:00:00+01:00
2024-01-02 17:00:00+00:00,81.3,EUR,MWH,2024-01-02 18:00:00+01:00
2024-01-02 18:00:00+00:00,70.1,EUR,MWH,2024-01-02 19:00:00+01:00
2024-01-02 19:00:00+00:00,66.7,EUR,MWH,2024-01-02 20:00:00+01:00
2024-01-02 20:00:00+00:00,54.9,EUR,MWH,2024-01-02 21:00:00+01:00
2024-01-02 21:00:00+00:00,53.18,EUR,MWH,2024-01-02 22:00:00+01:00
2024-01-02 22:00:00+00:00,54.9,EUR,MWH,2024-01-02 23:00:00+01:00
2024-01-02 23:00:00+00:00,-0.39,EUR,MWH,2024-01-03 00:00:00+01:00
2024-01-03 00:00:00+00:00,-1.61,EUR,MWH,2024-01-03 01:00:00+01:00
2024-01-03 01:00:00+00:00,-1.39,EUR,MWH,2024-01-03 02:00:00+01:00
2024-01-03 02:00:00+00:00,-1.31,EUR,MWH,2024-01-03 03:00:00+01:00
2024-01-03 03:00:00+00:00,-1.39,EUR,MWH,2024-01-03 04:00:00+01:00
2024-01-03 04:00:00+00:00,-1.95,EUR,MWH,2024-01-03 05:00:00+01:00
2024-01-03 05:00:00+00:00,1.05,EUR,MWH,2024-01-03 06:00:00+01:00
2024-01-03 06:00:00+00:00,40.63,EUR,MWH,2024-01-03 07:00:00+01:00
2024-01-03 07:00:00+00:00,68.3,EUR,MWH,2024-01-03 08:00:00+01:00
2024-01-03 08:00:00+00:00,75.9,EUR,MWH,2024-01-03 09:00:00+01:00
2024-01-03 09:00:00+00:00,73.2,EUR,MWH,2024-01-03 10:00:00+01:00
2024-01-03 10:00:00+00:00,69.2,EUR,MWH,2024-01-03 11:00:00+01:00
2024-01-03 11:00:00+00:00,60.0,EUR,MWH,2024-01-03 12:00:00+01:00
2024-01-03 12:00:00+00:00,58.86,EUR,MWH,2024-01-03 13:00:00+01:00
2024-01-03 13:00:00+00:00,60.86,EUR,MWH,2024-01-03 14:00:00+01:00
2024-01-03 14:00:00+00:00,76.0,EUR,MWH,2024-01-03 15:00:00+01:00
