source_file,cp_id,arrival,departure,duration_min,energy_kWh,avg_kW,peak_kW,n_steps,pmax_kW
profile_1.csv,profile_1,2024-01-13T08:30:00Z,2024-01-13T11:30:00Z,180.0,29.42517857142857,9.808392857142858,11.0,12,11.0
profile_1.csv,profile_1,2024-01-13T12:15:00Z,2024-01-13T12:45:00Z,30.0,3.5,7.0,8.625,2,8.625
profile_1.csv,profile_1,2024-01-14T11:15:00Z,2024-01-14T14:45:00Z,210.0,35.53125,10.151785714285714,11.0,14,11.0
profile_1.csv,profile_1,2024-01-14T18:15:00Z,2024-01-14T22:15:00Z,240.0,42.5,10.625,11.0,16,11.0
profile_1.csv,profile_1,2024-01-17T18:15:00Z,2024-01-18T00:00:00Z,345.0,60.6,10.539130434782608,11.0,23,11.0
profile_1.csv,profile_1,2024-01-18T14:30:00Z,2024-01-18T15:15:00Z,45.0,7.5,10.0,11.0,3,11.0
profile_1.csv,profile_1,2024-01-22T08:00:00Z,2024-01-22T08:45:00Z,45.0,7.5,10.0,11.0,3,11.0
profile_1.csv,profile_1,2024-01-23T14:45:00Z,2024-01-23T16:30:00Z,105.0,16.400000000000006,9.371428571428575,11.0,7,11.0
profile_1.csv,profile_1,2024-01-23T23:30:00Z,2024-01-24T00:00:00Z,30.0,4.900000000000006,9.800000000000011,11.0,2,11.0
profile_1.csv,profile_1,2024-01-24T08:00:00Z,2024-01-24T08:30:00Z,30.0,4.900000000000006,9.800000000000011,11.0,2,11.0
profile_1.csv,profile_1,2024-01-24T19:15:00Z,2024-01-24T19:30:00Z,15.0,1.4000000000000057,5.600000000000023,5.600000000000023,1,5.600000000000023
profile_1.csv,profile_1,2024-01-25T23:00:00Z,2024-01-26T00:00:00Z,60.0,6.700000000000006,6.700000000000006,8.625,4,8.625
profile_1.csv,profile_1,2024-01-26T16:00:00Z,2024-01-26T16:15:00Z,15.0,1.0999999999999943,4.399999999999977,4.399999999999977,1,4.399999999999977
profile_1.csv,profile_1,2024-01-26T19:30:00Z,2024-01-26T19:45:00Z,15.0,1.0999999999999943,4.399999999999977,4.399999999999977,1,4.399999999999977
profile_1.csv,profile_1,2024-01-27T09:30:00Z,2024-01-27T10:00:00Z,30.0,4.599999999999994,9.199999999999989,11.0,2,11.0
profile_1.csv,profile_1,2024-01-27T11:30:00Z,2024-01-27T11:45:00Z,15.0,1.5999999999999943,6.399999999999977,6.399999999999977,1,6.399999999999977
profile_1.csv,profile_1,2024-01-27T12:15:00Z,2024-01-27T12:45:00Z,30.0,5.099999999999994,10.199999999999989,11.0,2,11.0
profile_1.csv,profile_1,2024-01-28T14:30:00Z,2024-01-28T14:45:00Z,15.0,1.2000000000000028,4.800000000000011,4.800000000000011,1,4.800000000000011
profile_1.csv,profile_1,2024-01-29T20:45:00Z,2024-01-29T21:00:00Z,15.0,2.700000000000003,10.800000000000011,10.800000000000011,1,10.800000000000011
profile_1.csv,profile_1,2024-01-30T17:00:00Z,2024-01-30T17:15:00Z,15.0,2.400000000000006,9.600000000000025,9.600000000000025,1,9.600000000000025
profile_1.csv,profile_1,2024-01-31T19:30:00Z,2024-01-31T22:45:00Z,195.0,33.5,10.307692307692308,11.0,13,11.0
profile_1.csv,profile_1,2024-02-01T22:45:00Z,2024-02-02T02:00:00Z,195.0,33.7,10.36923076923077,11.0,13,11.0
profile_1.csv,profile_1,2024-02-04T21:45:00Z,2024-02-05T01:00:00Z,195.0,30.599999999999994,9.415384615384614,11.0,13,11.0
profile_1.csv,profile_1,2024-02-05T07:45:00Z,2024-02-05T09:00:00Z,75.0,11.700000000000005,9.360000000000005,11.0,5,11.0
profile_1.csv,profile_1,2024-02-06T10:30:00Z,2024-02-06T11:45:00Z,75.0,13.400000000000006,10.720000000000004,11.0,5,11.0
profile_1.csv,profile_1,2024-02-06T14:30:00Z,2024-02-06T16:00:00Z,90.0,14.200000000000005,9.466666666666669,11.0,6,11.0
profile_1.csv,profile_1,2024-02-07T08:15:00Z,2024-02-07T09:30:00Z,75.0,11.799999999999995,9.439999999999998,11.0,5,11.0
profile_1.csv,profile_1,2024-02-07T15:00:00Z,2024-02-07T18:00:00Z,180.0,25.875,8.625,8.625,12,8.625
profile_1.csv,profile_1,2024-02-08T14:45:00Z,2024-02-08T17:45:00Z,180.0,30.90000000000001,10.300000000000002,11.0,12,11.0
profile_1.csv,profile_1,2024-02-09T14:30:00Z,2024-02-09T17:15:00Z,165.0,29.200000000000003,10.61818181818182,11.0,11,11.0
profile_1.csv,profile_1,2024-02-10T11:45:00Z,2024-02-10T12:30:00Z,45.0,7.0,9.333333333333334,11.0,3,11.0
profile_1.csv,profile_1,2024-02-13T17:15:00Z,2024-02-13T21:45:00Z,270.0,45.5,10.11111111111111,11.0,18,11.0
profile_1.csv,profile_1,2024-02-14T14:30:00Z,2024-02-14T18:30:00Z,240.0,44.0,11.0,11.0,16,11.0
profile_1.csv,profile_1,2024-02-15T19:30:00Z,2024-02-15T22:15:00Z,165.0,30.0,10.909090909090908,11.0,11,11.0
profile_1.csv,profile_1,2024-02-17T15:45:00Z,2024-02-17T19:00:00Z,195.0,35.75,11.0,11.0,13,11.0
profile_1.csv,profile_1,2024-02-18T13:15:00Z,2024-02-18T17:15:00Z,240.0,41.900000000000006,10.475,11.0,16,11.0
profile_1.csv,profile_1,2024-02-19T19:15:00Z,2024-02-19T22:00:00Z,165.0,28.7,10.436363636363636,11.0,11,11.0
profile_1.csv,profile_1,2024-02-21T18:45:00Z,2024-02-21T21:00:00Z,135.0,21.4,9.511111111111113,11.0,9,11.0
profile_1.csv,profile_1,2024-02-23T00:15:00Z,2024-02-23T03:15:00Z,180.0,30.90000000000001,10.300000000000002,11.0,12,11.0
profile_1.csv,profile_1,2024-02-23T16:00:00Z,2024-02-23T18:15:00Z,135.0,22.8,10.133333333333333,11.0,9,11.0
profile_1.csv,profile_1,2024-02-25T10:30:00Z,2024-02-25T11:00:00Z,30.0,4.0,8.0,11.0,2,11.0
profile_1.csv,profile_1,2024-02-25T16:00:00Z,2024-02-25T17:45:00Z,105.0,17.0,9.714285714285714,11.0,7,11.0
profile_1.csv,profile_1,2024-02-25T18:15:00Z,2024-02-25T18:45:00Z,30.0,4.799999999999997,9.599999999999994,11.0,2,11.0
profile_1.csv,profile_1,2024-02-26T12:00:00Z,2024-02-26T14:00:00Z,120.0,21.2,10.6,11.0,8,11.0
profile_1.csv,profile_1,2024-02-26T15:30:00Z,2024-02-26T17:00:00Z,90.0,16.5,11.0,11.0,6,11.0
profile_1.csv,profile_1,2024-02-27T13:00:00Z,2024-02-27T13:30:00Z,30.0,4.200000000000003,8.400000000000006,11.0,2,11.0
profile_1.csv,profile_1,2024-02-28T11:15:00Z,2024-02-28T13:00:00Z,105.0,18.90000000000001,10.800000000000002,11.0,7,11.0
profile_1.csv,profile_1,2024-02-28T14:15:00Z,2024-02-28T15:15:00Z,60.0,7.599999999999994,7.599999999999994,8.625,4,8.625
profile_1.csv,profile_1,2024-02-28T15:45:00Z,2024-02-28T16:45:00Z,60.0,6.800000000000004,6.800000000000004,8.625,4,8.625
profile_1.csv,profile_1,2024-02-28T18:15:00Z,2024-02-28T19:00:00Z,45.0,5.900000000000006,7.866666666666674,11.0,3,11.0
profile_1.csv,profile_1,2024-02-29T13:45:00Z,2024-02-29T14:15:00Z,30.0,3.299999999999997,6.599999999999994,11.0,2,11.0
profile_1.csv,profile_1,2024-02-29T19:30:00Z,2024-02-29T20:00:00Z,30.0,3.199999999999999,6.399999999999998,8.784722222222213,2,8.784722222222213
profile_1.csv,profile_1,2024-03-01T16:00:00Z,2024-03-01T18:45:00Z,165.0,24.599999999999994,8.945454545454544,11.0,11,11.0
profile_1.csv,profile_1,2024-03-03T10:45:00Z,2024-03-03T11:30:00Z,45.0,6.0,8.0,11.0,3,11.0
profile_1.csv,profile_1,2024-03-04T20:15:00Z,2024-03-05T03:45:00Z,450.0,70.2,9.36,11.0,30,11.0
profile_1.csv,profile_1,2024-03-09T11:45:00Z,2024-03-09T12:30:00Z,45.0,7.0,9.333333333333334,11.0,3,11.0
profile_1.csv,profile_1,2024-03-10T10:00:00Z,2024-03-10T16:30:00Z,390.0,68.50000000000001,10.53846153846154,11.0,26,11.0
profile_1.csv,profile_1,2024-03-11T18:00:00Z,2024-03-11T22:45:00Z,285.0,42.0,8.842105263157896,11.0,19,11.0
profile_1.csv,profile_1,2024-03-12T17:15:00Z,2024-03-12T17:30:00Z,15.0,2.200000000000003,8.800000000000011,8.800000000000011,1,8.800000000000011
profile_1.csv,profile_1,2024-03-13T17:30:00Z,2024-03-13T23:00:00Z,330.0,59.5,10.818181818181818,11.0,22,11.0
profile_1.csv,profile_1,2024-03-15T08:00:00Z,2024-03-15T09:00:00Z,60.0,8.5,8.5,11.0,4,11.0
profile_1.csv,profile_1,2024-03-16T08:15:00Z,2024-03-16T09:00:00Z,45.0,6.0,8.0,11.0,3,11.0
profile_1.csv,profile_1,2024-03-17T11:00:00Z,2024-03-17T11:45:00Z,45.0,5.599999999999994,7.466666666666659,11.0,3,11.0
profile_1.csv,profile_1,2024-03-17T18:45:00Z,2024-03-17T19:45:00Z,60.0,9.099999999999994,9.099999999999994,11.0,4,11.0
profile_1.csv,profile_1,2024-03-18T18:15:00Z,2024-03-18T18:45:00Z,30.0,5.400000000000006,10.800000000000011,11.0,2,11.0
profile_1.csv,profile_1,2024-03-19T07:00:00Z,2024-03-19T08:15:00Z,75.0,9.2,7.359999999999999,11.0,5,11.0
profile_1.csv,profile_1,2024-03-19T12:30:00Z,2024-03-19T13:00:00Z,30.0,3.0,6.0,11.0,2,11.0
profile_1.csv,profile_1,2024-03-19T13:45:00Z,2024-03-19T14:15:00Z,30.0,3.200000000000003,6.400000000000006,11.0,2,11.0
profile_1.csv,profile_1,2024-03-19T17:00:00Z,2024-03-19T17:15:00Z,15.0,2.200000000000003,8.800000000000011,8.800000000000011,1,8.800000000000011
profile_1.csv,profile_1,2024-03-20T11:30:00Z,2024-03-20T12:15:00Z,45.0,8.099999999999994,10.799999999999992,11.0,3,11.0
profile_1.csv,profile_1,2024-03-20T16:45:00Z,2024-03-20T17:15:00Z,30.0,4.400000000000006,8.800000000000011,11.0,2,11.0
profile_1.csv,profile_1,2024-03-20T18:15:00Z,2024-03-20T18:45:00Z,30.0,4.099999999999994,8.199999999999989,11.0,2,11.0
profile_1.csv,profile_1,2024-03-20T21:15:00Z,2024-03-20T22:15:00Z,60.0,9.599999999999994,9.599999999999994,11.0,4,11.0
profile_1.csv,profile_1,2024-03-21T09:30:00Z,2024-03-21T09:45:00Z,15.0,1.7999999999999972,7.199999999999989,7.199999999999989,1,7.199999999999989
profile_1.csv,profile_1,2024-03-21T12:45:00Z,2024-03-21T13:00:00Z,15.0,2.0999999999999943,8.399999999999977,8.399999999999977,1,8.399999999999977
profile_1.csv,profile_1,2024-03-21T14:45:00Z,2024-03-21T15:00:00Z,15.0,1.5,6.0,6.0,1,6.0
profile_1.csv,profile_1,2024-03-21T17:45:00Z,2024-03-21T18:00:00Z,15.0,2.599999999999994,10.399999999999975,10.399999999999975,1,10.399999999999975
